iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,22577.343750,3.004359,0.260091,42,-0.656640,0.000000,0.856950,0.051560,-0.252500,-0.035110,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,16156.250000,2.970567,0.261629,42,-0.609774,0.006706,0.878928,0.076991,-0.241710,-0.064020,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,16291.406250,2.938507,0.267411,38,-0.564278,0.012074,0.902814,0.100414,-0.230049,-0.092212,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,11502.343750,2.907796,0.275905,37,-0.517288,0.016714,0.923835,0.120642,-0.218728,-0.117162,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,12055.859375,2.878740,0.289090,37,-0.470869,0.020228,0.945416,0.142462,-0.208194,-0.141184,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,8621.289062,2.850536,0.303185,32,-0.423627,0.023738,0.964963,0.161175,-0.198107,-0.163394,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,8939.973633,2.823759,0.318517,36,-0.378969,0.026349,0.988361,0.178594,-0.187508,-0.185468,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,7671.289062,2.797680,0.334881,38,-0.334808,0.029060,1.011990,0.196367,-0.177439,-0.205184,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,6698.307129,2.771649,0.350211,36,-0.289906,0.032646,1.033904,0.211841,-0.167003,-0.223341,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,4498.502441,2.745736,0.364868,35,-0.242737,0.037280,1.051034,0.225606,-0.157108,-0.239892,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,4278.580566,2.719668,0.378958,38,-0.195403,0.043128,1.066931,0.238439,-0.148131,-0.254585,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,4500.846191,2.694129,0.392663,35,-0.149382,0.049066,1.084892,0.249587,-0.137760,-0.270024,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,3003.645752,2.665703,0.405635,40,-0.102199,0.059813,1.097915,0.261039,-0.129758,-0.282065,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
13,3510.742188,2.638509,0.417908,36,-0.056780,0.069509,1.114746,0.272211,-0.123023,-0.292257,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
14,2592.578125,2.605647,0.429015,42,-0.012787,0.087093,1.129168,0.282519,-0.115050,-0.301662,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
15,2393.294189,2.568818,0.437930,42,0.030877,0.113853,1.127111,0.290458,-0.108206,-0.309367,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
16,2454.687500,2.538811,0.445958,43,0.064875,0.128582,1.156248,0.299534,-0.102742,-0.314010,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
17,2630.468750,2.502517,0.452899,45,0.101219,0.151841,1.177439,0.307445,-0.096333,-0.318300,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
18,2735.026123,2.465160,0.459245,48,0.134084,0.177043,1.200881,0.314480,-0.090341,-0.322253,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
19,2820.442627,2.425142,0.464557,47,0.150830,0.207997,1.231320,0.320463,-0.082079,-0.326159,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
20,2857.356689,2.380211,0.470210,52,0.180543,0.245348,1.242387,0.326763,-0.076584,-0.329330,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
21,2572.591064,2.339792,0.474324,56,0.217877,0.278720,1.242668,0.330497,-0.069947,-0.332960,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
22,2487.955811,2.291377,0.478307,52,0.219440,0.328104,1.248221,0.335294,-0.063473,-0.335151,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
23,2290.104248,2.252711,0.480484,57,0.240459,0.369889,1.223025,0.338019,-0.056556,-0.336763,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
24,1870.377563,2.215641,0.484699,52,0.274233,0.405317,1.206849,0.343576,-0.052573,-0.337823,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
25,2039.388062,2.170586,0.490088,58,0.274012,0.447657,1.227726,0.350265,-0.048127,-0.339389,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
26,1673.893188,2.125477,0.494585,57,0.276425,0.497713,1.216870,0.355664,-0.043215,-0.340955,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
27,1508.528687,2.081517,0.499003,62,0.304804,0.535911,1.223817,0.361116,-0.039032,-0.342163,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
28,1954.557251,2.046248,0.502927,68,0.289581,0.569561,1.251451,0.366315,-0.035105,-0.342807,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
29,1606.510376,2.000108,0.507096,68,0.310245,0.614297,1.248833,0.371703,-0.031133,-0.343531,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
30,1544.856812,1.952320,0.509850,68,0.319455,0.660901,1.256139,0.375907,-0.028158,-0.343290,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
31,1354.361938,1.908715,0.512490,72,0.343203,0.703760,1.248771,0.379444,-0.024221,-0.343630,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
32,1004.622375,1.867185,0.515384,84,0.363765,0.747506,1.234280,0.384014,-0.022207,-0.343017,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
33,813.737000,1.834427,0.517819,72,0.382568,0.787135,1.205748,0.388312,-0.020489,-0.341951,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
34,903.971375,1.801253,0.521494,81,0.380519,0.811928,1.241660,0.394298,-0.017279,-0.340861,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
35,728.906250,1.762385,0.524842,91,0.411876,0.848297,1.236631,0.399221,-0.015656,-0.340348,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
36,852.473938,1.736138,0.527677,88,0.380814,0.876406,1.258251,0.404204,-0.011613,-0.339009,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
37,800.520813,1.694997,0.531224,91,0.404526,0.909528,1.276645,0.408661,-0.008449,-0.339298,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
38,741.341125,1.667309,0.533577,85,0.374746,0.950084,1.263312,0.412309,-0.005519,-0.338638,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
39,756.966125,1.646065,0.537564,92,0.410455,0.957328,1.286965,0.416593,-0.002210,-0.339736,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
40,747.916687,1.610564,0.539957,91,0.386820,1.001162,1.285779,0.420200,0.001658,-0.339091,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
41,436.914062,1.590143,0.543639,104,0.429649,1.018818,1.268305,0.424179,0.005172,-0.339984,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
42,656.119812,1.569632,0.546268,112,0.408619,1.034334,1.303875,0.428300,0.007903,-0.338977,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
43,481.054688,1.543028,0.548676,109,0.394898,1.076195,1.272907,0.431043,0.011123,-0.339299,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
44,284.700531,1.510850,0.515679,115,0.428826,1.096927,1.290760,0.404242,0.014953,-0.319828,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
45,451.171875,1.512069,0.519815,122,0.434892,1.082003,1.330064,0.408925,0.017088,-0.320463,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
46,448.307281,1.497519,0.486856,125,0.443264,1.084234,1.370415,0.382703,0.019344,-0.300322,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
47,197.786453,1.471789,0.457292,128,0.484753,1.101958,1.374120,0.359065,0.021426,-0.282363,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
48,327.539062,1.465866,0.429676,130,0.465262,1.102090,1.413055,0.337836,0.022938,-0.264503,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
49,183.723953,1.465516,0.403772,132,0.507462,1.091938,1.424003,0.317568,0.023954,-0.248210,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
50,116.276039,1.447933,0.405718,136,0.550939,1.102566,1.427412,0.319383,0.024318,-0.249020,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
51,216.927078,1.441432,0.406361,131,0.504763,1.113438,1.441728,0.321118,0.025126,-0.247752,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
52,196.158859,1.434989,0.380246,135,0.532963,1.109049,1.471891,0.300162,0.026080,-0.231970,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
53,292.838531,1.402680,0.380954,137,0.512175,1.141372,1.494891,0.300697,0.026452,-0.232395,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
54,66.406250,1.402113,0.381648,144,0.550994,1.142774,1.459733,0.300491,0.026939,-0.233741,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
55,224.609375,1.396537,0.382528,141,0.513751,1.148917,1.487173,0.301864,0.027815,-0.233308,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
56,42.968750,1.396383,0.383495,143,0.554255,1.149272,1.454865,0.302046,0.028688,-0.234550,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
57,176.171875,1.393040,0.384340,139,0.513449,1.154211,1.478973,0.303434,0.028429,-0.234172,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
58,57.942707,1.392769,0.385514,135,0.558862,1.151250,1.459925,0.303905,0.029067,-0.235411,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
59,159.960938,1.389128,0.386004,150,0.511135,1.160053,1.472218,0.305030,0.029102,-0.234752,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
60,78.841148,1.393181,0.387483,144,0.557107,1.150267,1.463700,0.305748,0.029623,-0.236186,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
61,155.338547,1.387714,0.387866,140,0.509072,1.161585,1.473687,0.306716,0.029886,-0.235525,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
62,44.856770,1.392947,0.364184,141,0.554506,1.149707,1.469300,0.287410,0.030146,-0.221624,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
63,144.596359,1.391660,0.340871,148,0.532911,1.146952,1.507405,0.269159,0.030311,-0.206949,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
64,31.184896,1.394647,0.317067,149,0.579054,1.139070,1.497637,0.251258,0.029869,-0.191072,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
65,132.552078,1.397164,0.296965,148,0.567278,1.131129,1.538167,0.235771,0.029517,-0.178126,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
66,1.302083,1.395060,0.278157,149,0.608734,1.133259,1.508636,0.220326,0.029027,-0.167289,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
67,91.080727,1.398300,0.279647,154,0.588771,1.125896,1.547299,0.222401,0.028316,-0.167148,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
