iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,gam_similarity,ssim_score,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,3690.169189,2.585302,0.356143,57,0.220737,0.412431,0.112420,0.000000,1.584840,-0.293910,0.192320,-0.058890,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
1,4283.724121,2.466781,0.323210,61,0.247479,0.426941,0.228753,0.096767,1.555621,-0.275196,0.167830,-0.023759,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
2,4051.237061,2.364926,0.294642,63,0.272281,0.444478,0.299237,0.188990,1.528821,-0.253656,0.149766,-0.006509,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
3,3489.257812,2.276267,0.268016,72,0.296760,0.452852,0.344462,0.273517,1.505661,-0.231844,0.134463,0.000795,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
4,3365.820312,2.198967,0.239925,76,0.320321,0.475826,0.389324,0.347606,1.480617,-0.207205,0.120492,0.010557,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
5,3697.981689,2.129893,0.218891,74,0.343506,0.488662,0.426592,0.413742,1.468259,-0.188750,0.109293,0.018484,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
6,3553.255127,2.067916,0.194544,82,0.365935,0.494484,0.459426,0.474609,1.450606,-0.166178,0.097865,0.025587,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
7,3387.825439,2.012200,0.166279,76,0.386801,0.496217,0.484200,0.531959,1.425787,-0.137908,0.088146,0.029331,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
8,3142.122314,1.962618,0.149258,91,0.407829,0.519857,0.497160,0.581706,1.421234,-0.122205,0.081393,0.026815,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
9,3081.380127,1.917801,0.134201,89,0.428587,0.525984,0.502960,0.626926,1.420567,-0.109278,0.075238,0.020187,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
10,2655.533936,1.878147,0.122104,84,0.449345,0.539143,0.512413,0.665861,1.423008,-0.099149,0.069226,0.016932,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
11,2652.278564,1.843385,0.114935,88,0.468162,0.561090,0.526249,0.698272,1.430973,-0.093652,0.064194,0.017842,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
12,2816.210938,1.811431,0.106008,98,0.486763,0.568602,0.536011,0.728944,1.435598,-0.086236,0.059400,0.016511,0.750000,2.500000,1.750000,/tmp/ibvs_dist_img.png
