iteration,error_magnitude,distance_to_target,oracle_orientation_diff,num_matched_keypoints,robot_pos_x,robot_pos_y,robot_pos_z,robot_orn_x,robot_orn_y,robot_orn_z,target_pos_x,target_pos_y,target_pos_z,image_path
0,5527.604004,2.715695,0.223607,8,0.000000,0.000000,1.000000,0.200000,0.100000,0.000000,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_0.png
1,6782.877441,2.688855,0.163816,37,0.041105,0.010807,1.021077,0.113336,0.116750,0.018977,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_1.png
2,6496.549316,2.658876,0.169930,47,0.080578,0.026180,1.041684,0.121051,0.116674,-0.024702,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_2.png
3,6352.669434,2.634178,0.184245,40,0.121298,0.036062,1.062514,0.126707,0.118787,-0.061492,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_3.png
4,6433.203125,2.606304,0.203394,10,0.161389,0.050517,1.081876,0.133199,0.118630,-0.097745,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_4.png
5,8630.729492,2.566776,0.230723,37,0.191185,0.079711,1.103267,0.143050,0.122012,-0.133726,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_5.png
6,5670.963379,2.539287,0.255095,20,0.218262,0.093983,1.136553,0.149566,0.122399,-0.166499,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_6.png
7,6267.708496,2.517212,0.285205,35,0.264306,0.106635,1.139870,0.156945,0.124155,-0.203213,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_7.png
8,6252.864746,2.487761,0.308059,40,0.279131,0.125114,1.178027,0.158159,0.127111,-0.231795,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_8.png
9,8523.242188,2.459135,0.330417,44,0.287872,0.144071,1.217663,0.162713,0.127644,-0.257696,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_9.png
10,7913.281250,2.425407,0.352536,42,0.296968,0.169509,1.253841,0.165789,0.128475,-0.283355,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_10.png
11,9168.620117,2.396644,0.374096,41,0.311321,0.188961,1.291134,0.169190,0.127727,-0.308234,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_11.png
12,9551.953125,2.357303,0.392177,63,0.301999,0.226269,1.318354,0.173177,0.127108,-0.328109,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_12.png
13,8740.950195,2.321054,0.407184,50,0.295751,0.259265,1.349932,0.175451,0.123601,-0.346033,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_13.png
14,9218.098633,2.292927,0.428701,52,0.274929,0.287437,1.380692,0.175903,0.124484,-0.370603,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_14.png
15,9673.307617,2.257995,0.448764,58,0.289608,0.315403,1.412190,0.173158,0.126767,-0.394126,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_15.png
16,9375.846680,2.210274,0.465372,60,0.292408,0.362506,1.422828,0.172053,0.127657,-0.413125,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_16.png
17,8008.593750,2.176595,0.480221,71,0.269191,0.399527,1.442746,0.170640,0.129135,-0.429904,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_17.png
18,9538.671875,2.134290,0.441072,72,0.257517,0.444113,1.456768,0.164694,0.118341,-0.391683,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_18.png
19,8618.164062,2.106447,0.404709,70,0.294849,0.461923,1.473959,0.160528,0.108113,-0.355432,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_19.png
20,9622.981445,2.074251,0.371385,66,0.305251,0.488666,1.506579,0.157458,0.098853,-0.321499,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_20.png
21,9511.848633,2.031762,0.340423,68,0.334328,0.526149,1.506719,0.154998,0.088383,-0.289916,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_21.png
22,9354.557617,1.992882,0.307585,81,0.364884,0.561921,1.490942,0.149348,0.079186,-0.256970,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_22.png
23,9100.781250,1.958551,0.328542,78,0.392691,0.589211,1.510969,0.149017,0.081295,-0.281291,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_23.png
24,8776.497070,1.918503,0.296238,78,0.416804,0.624084,1.525116,0.143237,0.072408,-0.248992,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_24.png
25,8427.929688,1.884389,0.315536,83,0.414923,0.655954,1.554704,0.142355,0.075050,-0.271415,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_25.png
26,8572.786133,1.837670,0.286600,89,0.425790,0.701477,1.557047,0.141133,0.067346,-0.240178,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_26.png
27,7329.492188,1.807831,0.305402,90,0.465192,0.726028,1.549600,0.137898,0.071382,-0.262981,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_27.png
28,8233.659180,1.766805,0.273617,102,0.484091,0.763297,1.563576,0.133358,0.063618,-0.230292,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_28.png
29,7846.354004,1.727629,0.245539,101,0.512715,0.799182,1.561278,0.129210,0.056493,-0.201004,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_29.png
30,7287.239746,1.703355,0.219490,99,0.553538,0.819791,1.550708,0.126414,0.049455,-0.172481,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_30.png
31,7354.817871,1.671932,0.236594,105,0.554199,0.848117,1.581777,0.126173,0.051968,-0.193278,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_31.png
32,6185.677246,1.639063,0.252422,115,0.586782,0.877272,1.586773,0.125235,0.053068,-0.212642,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_32.png
33,5847.851562,1.606978,0.267612,117,0.606470,0.905588,1.609894,0.123659,0.055888,-0.230654,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_33.png
34,5705.924316,1.572116,0.280993,123,0.583941,0.941473,1.627664,0.122014,0.057708,-0.246454,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_34.png
35,5754.557129,1.535940,0.294625,133,0.554694,0.981747,1.624003,0.120726,0.058844,-0.262234,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_35.png
36,5171.810059,1.498651,0.265191,142,0.581575,1.015808,1.628509,0.115950,0.052962,-0.232544,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_36.png
37,5416.601562,1.455894,0.238137,148,0.583306,1.057837,1.640428,0.112741,0.046900,-0.204448,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_37.png
38,5325.976562,1.421816,0.210860,149,0.607810,1.088553,1.654290,0.107718,0.041204,-0.176524,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_38.png
39,4910.091309,1.403088,0.187519,157,0.642679,1.103267,1.670783,0.103478,0.035797,-0.152231,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_39.png
40,5335.807129,1.379342,0.165088,166,0.667492,1.124261,1.694155,0.099617,0.030160,-0.128144,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_40.png
41,4101.692871,1.354077,0.144935,178,0.698495,1.149542,1.665533,0.095979,0.025695,-0.105518,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_41.png
42,5420.182129,1.332551,0.127197,176,0.661338,1.172096,1.682914,0.094382,0.021111,-0.082617,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_42.png
43,5475.911621,1.289402,0.111468,185,0.658479,1.215342,1.688080,0.091106,0.017245,-0.061866,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_43.png
44,4166.080566,1.259579,0.099760,202,0.690465,1.244302,1.671157,0.088645,0.013455,-0.043740,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_44.png
45,3443.489502,1.241222,0.090674,214,0.731029,1.261776,1.665900,0.086157,0.009409,-0.026648,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_45.png
46,2779.882812,1.208354,0.085502,250,0.756239,1.294191,1.671872,0.084760,0.005556,-0.009764,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_46.png
47,2386.914062,1.166770,0.083043,273,0.760019,1.335479,1.678283,0.082834,0.001160,0.005765,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_47.png
48,3038.671875,1.146689,0.083920,302,0.758380,1.353941,1.712938,0.081553,-0.002555,0.019626,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_48.png
49,1913.085938,1.113765,0.085993,328,0.777071,1.388454,1.685142,0.079491,-0.005545,0.032330,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_49.png
50,1573.567749,1.074084,0.090152,384,0.780793,1.427761,1.695128,0.078101,-0.009454,0.044026,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_50.png
51,1440.234375,1.035343,0.094003,455,0.768021,1.465717,1.706768,0.076291,-0.013514,0.053231,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_51.png
52,599.739563,1.007552,0.096647,488,0.799259,1.494938,1.699155,0.074125,-0.018039,0.059335,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_52.png
53,455.013031,0.971562,0.100777,574,0.798131,1.530206,1.716607,0.073676,-0.023260,0.064706,0.750000,2.500000,1.750000,/home/khw/IBVS-interbotix/src/dist_img/dist_img_53.png
